Month,Date,Year,Time,Location,Operator,Route,Type,Aboard,Fatalities,Summary
1,1/5/00,2000,,"Abuja, Nigeria",Skypower Express Airways,Lagos - Abuja,Embraer 110P1A Bandeirante,16,1,During a visual approach the aircraft stalled and pancaked 400 ft. short of the runway.
1,1/10/00,2000,17:54,"Niederhasli, Switzerland",Crossair,Zí_rich - Dresden,Saab 340B,10,10,"The aircraft crashed shortly after taking off, 8 km from the airport in light rain. After departing, the captain turned the aircraft to the right instead of to the left. The first officer advised the captain he should be turning right and ATC also asked about the direction taken. ATC then cleared the aircraft for a right turn. Soon after, the pitch decreased rapidly accompanied by a marked speed increase and plane entered a high speed, high-rate, spiral descent and crashed into an open field. The flight crew reacted inappropriately to the change in departure clearance SID ZUE 1Y by ATC. The first officer made an entry in the FMS, without being instructed to do so by the commander, which related to the change to the SID ZUE 1 standard instrument departure. In doing so, he omitted to select a turn direction. The captain dispensed with use of the autopilot under instrument flight conditions and during the work-intensive climb phase of the flight. The captain took the aircraft into a spiral dive to the right because, with a probability bordering on certainty, he had lost spatial orientation. The first officer took only inadequate measures to prevent or recover from the spiral dive."
1,1/13/00,2000,12:38,"Off Marsa el-Brega, Libya",Avisto,Tripoli IAP - Marsa el-Brega,Shorts 360-300,41,22,"The aircraft was on a flight from Tripoli to Marsa el-Brega Libya ferrying oil workers. As the twin engine plane approached Marsa El-Brega, the crew experienced a double engine failure and ditched into the sea. Failure of the crew to use the anti-icing system which led to the ingestion of melting ice into both engines causing failure of both engines."
1,1/15/00,2000,13:10,"San Jose, Costa Rica",TACA,San Jose - Tortuguero,Let 410UVP-E,20,5,The aircraft was not able to maintain altitude after taking off and crashed into a house. The aircraft was overloaded. Lack of safety instruction to passengers. Flaps not properly selected. Took off with out clearance.
1,1/25/00,2000,18:09,"Near Ankara, Turkey",Top Air - Air Taxi,Ankara - Istanbul,Beechcraft King Air C90,4,4,"The aircraft crashed near a pond 25 km from Cubuk, 20 minutes after taking off. Failure to use de-icing and poor weather was to blame."
1,1/30/00,2000,21:08,"Off Abidjan, Ivory Coast",Kenya Airways,Abidjan - Lagos,AirbusA310-304,179,169,"The aircraft crashed into the AtlantiOcean three minutes after taking off from Felix Houphouet-Boigny Airport.  A few seconds after lifting off the ground the stall warning sounded and continued for about 20 seconds until it was manually turned off by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeoff conditions also contributed to the accident, which occurred at night, hampering the crew's ability to judge the plane's distance from the sea."
1,1/31/00,2000,16:21,"Off Point Mugu, California",Alaska Airlines,Puerto Vallarta - San Francisco,McDonnell Douglas MD-83,88,88,"The aircraft crashed into the PacifiOcean south of Point Mugu in 650 ft. feet of water while en route from Puerto Vallarta to San Francisco. Radio transmissions from the plane indicated the pilots were struggling with a jammed stabilizer for the last 11 minutes of the flight before nose-diving into the sea. While preparing to make an emergency landing at Los Angeles International Airport control was lost and the MD-83 was seen in a nose-down attitude, spinning and tumbling in a continuous roll, inverted, before it impacted the sea.  Loss of airplane pitch control resulting from in-flight failure of the horizontal stabilizer trim system jackscrew assembly's acme nut thread. The component failed because of excessive wear resulting from Alaska Airlines' insufficient lubrication of the jackscrew assembly. Contributing to the accident were Alaska Airlines' extended lubrication interval and the Federal Aviation Administration's approval of that extension, which increased the likelihood that a missed or inadequate lubrication would result in excessive wear of the acme nut threads and Alaska Airlines' extended end play check interval and the FAA's approval of that extension, which allowed the excessive wear of the acme nut threads to progress to failure without the opportunity for detection. Also contributing to the accident was the absence on the McDonnell Douglas MD-80 of a fail-safe mechanism to prevent the catastrophieffects of total acme nut thread loss. Cynthia Oti, radio financial talk show host, Dean Forshee, guitarist, Jean Gandesberry, columnist, Tom Stockley, columnist were among those killed."
2,2/2/00,2000,,"Tehran, Iran",Military - IslamiRepubliof Iran Air Force,Training,Lockheed C-130 Hercules,8,8,Crashed on take off.
2,2/5/00,2000,16:00,"Iliamna, Alaska","Air Taxi - Iliamna, Air Taxi Inc.","Ilianma, AK - Koliganek, AK",Cessna U206G,6,6,"The airplane impacted level terrain, covered by smooth, wind-blown, snow, in a left bank of 26 degrees or greater. The pilot's attempted flight into adverse weather, and his failure to maintain altitude/clearance above the snow-covered tundra. Factors associated with the accident were snow, rain, and whiteout conditions."
2,2/16/00,2000,19:50,"Sacramento, California",Emery Worldwide,"Sacramento, CA - Dayton, OH",McDonnell Douglas DC-8-71F,3,3,The cargo plane lost altitude after taking off and crashed into a auto salvage yard and burned. A loss of pitch control resulting from the disconnection of the right elevator control tab. The disconnection was caused by the failure to properly secure and inspect the attachment bolt.
